id;nom;nom_majus;cp;insee;dept;lat;long;distance
3069;Vals;VALS;09500;9323;73;43.1;1.75;1.4
3070;Varilhes;VARILHES;09120;9324;73;43.05;1.633333;0.74
3071;Vaychis;VAYCHIS;09110;9325;73;42.75;1.8;1.95
3072;Vèbre;VEBRE;09310;9326;73;42.783333;1.716667;1.65
3073;Ventenac;VENTENAC;09120;9327;73;43;1.716667;1.35
3074;Verdun;VERDUN;09310;9328;73;42.8;1.683333;1.5
3075;Vernajoul;VERNAJOUL;09000;9329;73;42.983333;1.6;0.34
3076;Vernaux;VERNAUX;09250;9330;73;42.783333;1.75;1.65
3077;Le Vernet;LE VERNET;09700;9331;73;43.183333;1.6;1.94
3078;Verniolle;VERNIOLLE;09340;9332;73;43.083333;1.633333;1.04
3079;Vicdessos;VICDESSOS;09220;9334;73;42.766667;1.5;1.8
3080;Villeneuve-d'Olmes;VILLENEUVE D OLMES;09300;9336;73;42.9;1.816667;1.22
3081;Villeneuve-du-Bosc;VILLENEUVE DU BOSC;09000;9337;73;43;1.633333;0.87
3082;Villeneuve-du-Latou;VILLENEUVE DU LATOU;09130;9338;73;43.2;1.433333;2.09
3083;Villeneuve-du-Paréage;VILLENEUVE DU PAREAGE;09100;9339;73;43.15;1.616667;1.64
3084;Vira;VIRA;09120;9340;73;43.05;1.766667;1.93
3085;Viviès;VIVIES;09500;9341;73;43.05;1.783333;1.07
3086;Sainte-Suzanne;SAINTE SUZANNE;09130;9342;73;43.216667;1.383333;2.24
3087;Salau;SALAU;09140;9904;73;42.766667;1.183333;1.8
3088;Ailleville;AILLEVILLE;10200;10002;21;48.25;4.683333;1.83
3089;Aix-en-Othe;AIX EN OTHE;10160;10003;21;48.216667;3.733333;1.61
3090;Allibaudières;ALLIBAUDIERES;10700;10004;21;48.583333;4.116667;1.96
3091;Amance;AMANCE;10140;10005;21;48.3;4.516667;1.23
3092;Arcis-sur-Aube;ARCIS SUR AUBE;10700;10006;21;48.533333;4.133333;1.61
3093;Arconville;ARCONVILLE;10200;10007;21;48.166667;4.716667;1.95
3094;Argançon;ARGANCON;10140;10008;21;48.25;4.6;1.53
3095;Arrelles;ARRELLES;10340;10009;21;48.05;4.283333;1.77
3096;Arrembécourt;ARREMBECOURT;10330;10010;21;48.55;4.6;1.72
3097;Arrentières;ARRENTIERES;10200;10011;21;48.266667;4.75;2.07
3098;Arsonval;ARSONVAL;10200;10012;21;48.266667;4.65;1.71
3099;Assenay;ASSENAY;10320;10013;21;48.183333;4.066667;1.35
3100;Assencières;ASSENCIERES;10220;10014;21;48.35;4.2;1.49
3101;Aubeterre;AUBETERRE;10150;10015;21;48.433333;4.116667;0.91
3102;Aulnay;AULNAY;10240;10017;21;48.466667;4.4;1.47
3103;Auxon;AUXON;10130;10018;21;48.1;3.916667;1.42
3104;Avant-lès-Marcilly;AVANT LES MARCILLY;10400;10020;21;48.416667;3.566667;2.21
3105;Avant-lès-Ramerupt;AVANT LES RAMERUPT;10240;10021;21;48.45;4.283333;1.25
3106;Avirey-Lingey;AVIREY LINGEY;10340;10022;21;48.033333;4.3;1.89
3107;Avon-la-Pèze;AVON LA PEZE;10290;10023;21;48.383333;3.65;1.91
3108;Avreuil;AVREUIL;10130;10024;21;48.05;4;1.77
3109;Bagneux-la-Fosse;BAGNEUX LA FOSSE;10340;10025;21;47.983333;4.283333;2.24
3110;Bailly-le-Franc;BAILLY LE FRANC;10330;10026;21;48.516667;4.65;1.71
3111;Balignicourt;BALIGNICOURT;10330;10027;21;48.516667;4.466667;1.49
3112;Balnot-la-Grange;BALNOT LA GRANGE;10210;10028;21;47.983333;4.2;2.24
3113;Balnot-sur-Laignes;BALNOT SUR LAIGNES;10110;10029;21;48.033333;4.366667;1.89
3114;Barberey-Saint-Sulpice;BARBEREY SAINT SULPICE;10600;10030;21;48.333333;4.033333;1.26
3115;Barbuise;BARBUISE;10400;10031;21;48.55;3.583333;2.15
3116;Bar-sur-Aube;BAR SUR AUBE;10200;10033;21;48.233333;4.716667;1.95
3117;Bar-sur-Seine;BAR SUR SEINE;10110;10034;21;48.116667;4.366667;1.3
3118;Bayel;BAYEL;10310;10035;21;48.2;4.783333;2.19
3119;Beauvoir-sur-Sarce;BEAUVOIR SUR SARCE;10340;10036;21;47.966667;4.3;2.35
3120;Bercenay-en-Othe;BERCENAY EN OTHE;10190;10037;21;48.216667;3.883333;1.07
3121;Bercenay-le-Hayer;BERCENAY LE HAYER;10290;10038;21;48.333333;3.583333;2.15
3122;Bergères;BERGERES;10200;10039;21;48.183333;4.666667;1.77
3123;Bernon;BERNON;10130;10040;21;47.983333;3.983333;2.24
3124;Bertignolles;BERTIGNOLLES;10110;10041;21;48.133333;4.516667;1.23
3125;Bérulle;BERULLE;10160;10042;21;48.183333;3.666667;1.85
3126;Bétignicourt;BETIGNICOURT;10500;10044;21;48.45;4.45;1.07
